Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
2023-09-01,3098361,2194233690,707.0,712.0,701.0,710.0,5.0,5086
2023-09-04,2522028,1790655792,713.0,713.0,705.0,711.0,1.0,5126
2023-09-05,5279205,3777301172,712.0,718.0,711.0,718.0,7.0,10046
2023-09-06,3242836,2316021848,721.0,722.0,712.0,712.0,-6.0,5168
2023-09-07,3316214,2370553657,709.0,718.0,708.0,717.0,5.0,5156
2023-09-08,4521206,3191658625,705.0,710.0,701.0,709.0,-8.0,7898
2023-09-11,2183539,1555111730,715.0,715.0,708.0,714.0,5.0,3750
2023-09-12,7009423,5054812986,710.0,729.0,709.0,728.0,14.0,13900
2023-09-13,9660616,7101607140,739.0,744.0,729.0,732.0,4.0,12945
2023-09-14,5768123,4216460010,735.0,735.0,725.0,733.0,1.0,9076
2023-09-15,17615207,13290100894,741.0,763.0,737.0,763.0,30.0,28624
2023-09-18,12668690,9868737755,751.0,792.0,750.0,782.0,19.0,23002
2023-09-19,6470728,5000886964,782.0,782.0,764.0,773.0,-9.0,11800
2023-09-20,5579484,4230842020,765.0,766.0,751.0,759.0,-14.0,11814
2023-09-21,5238125,3925948016,752.0,762.0,744.0,746.0,-13.0,11237
2023-09-22,7898746,5831361888,735.0,748.0,728.0,746.0,0.0,11960
2023-09-25,4731685,3575077564,741.0,762.0,741.0,755.0,9.0,6826
2023-09-26,3992725,2957669856,748.0,755.0,736.0,737.0,-18.0,11763
2023-09-27,3938690,2882112327,728.0,737.0,728.0,737.0,0.0,7050
2023-09-28,4663792,3426158618,739.0,741.0,730.0,735.0,-2.0,5288
2023-10-02,3984135,2963606586,747.0,748.0,740.0,745.0,10.0,5116
2023-10-03,10858690,8412345746,767.0,784.0,766.0,772.0,27.0,17368
2023-10-04,8115420,6289880396,771.0,783.0,764.0,780.0,8.0,12101
2023-10-05,6094736,4776226228,783.0,786.0,776.0,786.0,6.0,10710
2023-10-06,3120332,2453114600,790.0,790.0,781.0,786.0,0.0,6465
2023-10-11,14131456,11419057143,790.0,816.0,790.0,814.0,28.0,23063
2023-10-12,7541921,6127982884,817.0,819.0,805.0,815.0,1.0,10182
2023-10-13,10447476,8708648285,820.0,842.0,818.0,842.0,27.0,21252
2023-10-16,5985812,5027107296,838.0,849.0,832.0,840.0,-2.0,10897
2023-10-17,8686799,7270589119,845.0,854.0,820.0,825.0,-15.0,24047
2023-10-18,7906890,6428956499,800.0,822.0,800.0,813.0,-12.0,11466
2023-10-19,7862713,6526116271,811.0,838.0,811.0,830.0,17.0,10621
2023-10-20,8706294,7196195716,831.0,837.0,812.0,828.0,-2.0,9166
2023-10-23,5392858,4423551151,825.0,829.0,816.0,821.0,-7.0,6999
2023-10-24,5162297,4198669990,821.0,823.0,804.0,816.0,-5.0,8898
2023-10-25,6590507,5423652068,818.0,832.0,816.0,822.0,6.0,8185
2023-10-26,5768583,4702033952,815.0,817.0,811.0,817.0,-5.0,7126
2023-10-27,7422025,5983780231,824.0,824.0,800.0,801.0,-16.0,13768
2023-10-30,16750720,14151297863,819.0,864.0,818.0,857.0,56.0,25868
2023-10-31,12015011,10190091698,860.0,861.0,834.0,842.0,-15.0,15665
